side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,gross_pnl,fees,net_pnl,result,exit_reason,signal_score,pattern_type,tp_price,sl_price,atr_at_entry,rsi_at_entry,htf_trend
short,1772898299999,1772899199999,83.56,83.493152,0.754882,6.3078,10.0,0.050462,0.050462,-0.0,loss,breakeven,18,breakout,83.3434,83.4932,0.2707,28.27,down
short,1772906399999,1772907299999,83.61,83.387714,0.75443,6.3078,10.0,0.167699,0.050462,0.117237,win,take_profit,14,ema_pullback,83.3877,83.5431,0.2779,44.55,down
short,1772910899999,1772911799999,83.11,82.879143,0.763906,6.3488,10.0,0.176353,0.050791,0.125563,win,take_profit,17,trend_follow,82.8791,83.0435,0.2886,38.1,down
short,1772913599999,1772914499999,82.53,82.698429,0.7746,6.3928,10.0,-0.130465,0.051142,-0.181607,loss,stop_loss,18,breakout,82.3054,82.6984,0.2807,27.2,down
short,1772930699999,1772931599999,83.07,82.990357,0.761913,6.3292,10.0,0.060681,0.050634,0.010047,win,trailing_stop,11,ema_pullback,82.8769,83.0035,0.2414,51.8,down
short,1772938799999,1772939699999,82.39,82.324088,0.768628,6.3327,10.0,0.050662,0.050662,-0.0,loss,breakeven,17,breakout,82.1877,82.3241,0.2529,30.3,down
short,1772942399999,1772943299999,82.34,82.274128,0.769095,6.3327,10.0,0.050662,0.050662,-0.0,loss,breakeven,14,trend_follow,82.0743,82.2741,0.3321,30.77,down
short,1772945999999,1772946899999,81.97,82.158571,0.772566,6.3327,10.0,-0.145684,0.050662,-0.196346,loss,stop_loss,17,breakout,81.7186,82.1586,0.3143,29.6,down
short,1772957699999,1772958599999,82.76,82.59125,0.756888,6.264,10.0,0.127725,0.050112,0.077613,win,trailing_stop,10,engulfing,82.5,82.6938,0.325,59.39,down
long,1772962199999,1772963099999,83.34,83.162571,0.75488,6.2912,10.0,-0.133937,0.050329,-0.184267,loss,stop_loss,16,retest,83.5766,83.1626,0.2957,74.42,neutral
